7642339107041264404,stop bullying her she's only 30teen,en;
7321872376324293406,the spin was so perfect 😭❤️,en;
7575795672030544648,Really who discover milk?😂😂😂,en;
7350501724174893867,My jaw dropped😭😭😭,en;
7299699476302021381,moi je fais ça je garde le sapin même l'été,fr;
7552473391246525200,why. he loves you,en;
7561962623085462327,money in a sanitary napkin😳 you just told them🤣🤣🤣🤣,en;
7629880779543773960,earlyyy,en;
"7623400581591204630,""Trump is a genius.;,,";
7642921279797068565,Thank u bro 🥰,en;
7541171003973518110,dude omg. those are my ACTUAL FAV!! i just never get through all the bags of brownie mix before the expiration date so i haven’t bought them in a while 😭💔💔,en;
7601513983854445333,[Sticker] Этот пацан типо,sticker;
7316230536942666542,THE GIRL FROM RAISING DION OMG,en;
7364063710343119622,IS THAT THE GUY FROM SIGN?!,en;
7641653900194398998,Tu dis de la d je rentre de NY après 8 jours c’est comme à Paris,fr;
7176494822772081451,why do you look like her lmao😭😭,en;
7642591607388242710,[Sticker] And then the teacher decides to start from you,sticker;
7632413572979852045,You know who you look like?,en;
7446161054399464225,Future me vibing the weeknd yass,en;
7590973253984731912,Bro tiene palanca de cambios :0,en;
"7522854308808606471,""""""Play dress to impress with my baddies"""""",en;,,";
"7416413324127503147,""I know, right? She's a warrior mommy! I loved that response!"",en;,,";
6975603798962537221,literally when i troll kids bro 😭,en;
7642806167945478926,[Sticker] Can’t do this we both bi to nooo,sticker;
7639787849378792223,[Sticker] and I love that for me,sticker;
7634169445707350792,[Sticker] yess...yess...yeahhh..owhh...shitt,sticker;
7642497830892028702,[Sticker] there's a 50% chance some of her fans cried with her,sticker;
7615973803383243542,Tu travailles pour toi et que pour toi !,fr;
"7561375104950960918,""Well, crooks will be opening your pads! You just told everyone!"",en;,,";
7629885395325829919,Omgggg,en;
"STRANGE."",en;,,";
7642301461947024149,you listened to one bad song,en;
6926009410549121030,u could literally curse my entire family line singing in french and i would thanky you,en;
7300791713772274474,I need to know how you put your light on . That's absolutely perfect . 🥰,en;
7358711203190080261,NIKI'S HAIR IS JUST EVERYTHING TO ME🧘‍♀️,en;
7633802522294256406,Comment ça donne pas envie,fr;
"7642727366191842070,""[Sticker] and then bro creams out loud """"wait didn't you do the homework?"""""",sticker;,,";
7610814825501901588,fr,en;
7519786277475681079,The airline I flew on said we had to keep them closed during takeoff and landing,en;
7632696457624519442,[Sticker] Cuánto cuesta,sticker;
"7642581191962952470,""[Sticker] """"Where is your homework?"""""",sticker;,,";
7642920632407163668,Franchement 🥰,fr;
7247067400326873858,am still standing 💯💯🔥🔥,en;
7315973273536512814,Better that me omg,en;
7491361730636333829,merci,fr;
7642707862875898656,ok j'm'en vais 😂😂😂😂😂😂,fr;
7608985616801743629,Lmao yo ts frying me 😂,en;
7641199466029122326,C est time square quoi 🤷‍♂️,fr;
7640731143977648914,And thats why i love gravity,en;
7370098201751438126,The car😭,en;
7637365860986536726,Yeah got a problem with that,en;
7561819969424753415,so why is that guy putting on pad?,en;
7632058099947504416,[Sticker] 😵s,sticker;
7117340726345908997,Anyone know the shoes? please,en;
"7617577482274947861,""Alguien más espero la vuelta, o solo fui yo 😅"",en;,,";
7190080537997214466,It's forbidden to explore the solution in Fedoni!?!?,en;
7609063333844828941,how are you BOTH so tea,en;
7429424801763607329,U just called me pure in all ways possible,en;
7641442069421376287,[Sticker] You guys do know this is rage bait,sticker;
7253239182977712922,Any tips for growing your hair out?,en;
7637536968591180566,j'fais du rap ton avis 🎤,fr;
7034694331563475717,Sis I can’t concentrate on a count of the boss a$$ hair 😍😍,en;
7017214075046626053,That turtle from amazing world of gumball 💀,en;
7520202139718828813,Holy moly people take shi way to much to heart these days let her do a bit😭,en;
7424463668819018514,Why does the search say when he takes off his hoodie😭💀,en;
7641247910630441735,God bless you 🙏,en;
7322404506600997678,My FYP is full of Call of Duty men. HELP.,en;
6941739797098938373,wait so am i not able to buy baby food cause it's just for babies 😬,fr;
7642893293383549718,[Sticker] It genuinely be like this,sticker;
7173545093478351622,je suis pour le real mais mettez navas au goal,fr;
7540888586338632479,it’s pronounced ko-naffa,en;
"7623575312064463630,""yes , they always say french ppl are rude. les français sont très directs, ils n'aiment pas ça 🤣"",fr;,,";
7133172548766696235,You guys rocked this 🥰🥰,en;
7642431266982576918,bravo et bonne continuation 👏👏,fr;
7034715786326721327,“Ohhhh” … “YOU TRIFLIN AHH” 😂😂😭,en;
7640652744005206798,Mind you his phone is upside down✌️,en;
7641668401719804695,Slowly making friends i see the progress ❤️,en;
7253307928185357099,Bro get a fade😭😭,en;
7551692584910717718,No but seriously… how did they discover milk…,en;
7643068929360560904,[Sticker] we're watching ts on saturday..right?!,sticker;
7235908891593573128,The second one is wow,en;
6972461407954699014,“WAIT ARE U BAD THO” AHHHDHCHAHADHA 🤣,en;
"the watcher:👤"",en;,,";
7641958776577180438,I would totally date you no joke,en;
7643057846339011336,[Sticker] So we're all online?,sticker;
7524057197556204302,Sometimes you don’t have to,en;
7370091530156606254,Houston thought it was going to be a regular rainy day. BS we got that notification on the hour TORNADO ⚠️📢 🚨,en;
7207531239186907909,Nahh 😂😂😂 this is funny as hell,en;
7236088957875487494,The prettiest side eyes I’ve ever seen in my life,en;
7642560003442672401,marry him or live my comment,fr;
7421336047025603359,How they even make the giraffe so realistic,en;
7358882780602762017,I need this live in London.,en;
7324857571328082731,THE THIRD ONE BRO 😭,en;
7643068424750416653,Im the 19342 comment that deserves a like,en;
6972350494035493638,this is why i pretend i’m a little boy lmfao,en;
"7642233617960059670,""[Sticker] """"funny"""" and """"cute"""""",sticker;,,";
"7132793585212850950,""Lmde je conseille, ils remboursent vrmt bien"",fr;,,";
7236565816450810629,As mulheres mais lindas que eu já vi mds,fr;
7506305491980223238,Svp donc en prophase 2 il y'a plus crossing over?,en;
7519715956210942728,Why,en;
7017208133701419782,They love the fresh outdoors,en;
7597951928380162817,who is you,en;
7364494218368942881,« J’ai tous pris quand tu dormais » elle a oser💀,fr;
7642909409622311710,[Sticker] is my girl doing this?,sticker;
7642908204687016734,@ @💫⭐⋆𝜗𝐽𝐸𝑅𝐸𝑀𝑌𝜚💠💠 @🌱⋆.𓇼˚˖🫧✬ seadly˚˖🫧✬🌱 @ɴᴀɢɪᴛᴏ,en;
7629753373269771030,pas mal vu que la plupart des étudiants en fac ont plus cours mdrrr,fr;
7642118402261451534,[Sticker] I be so ready to get off the phone,sticker;
7610621884728820502,whats the difference,en;
7073889612246172421,oh the fish disappeared near the end nice CGI,en;
7331706163683066670,All I see is myself falling down the stairs 😂,en;
7610378503758299936,bro what the gell,en;
7515912986784613150,FRR,fr;
"yo: porque el nunca se rindió"",en;,,";
"7554302424056972054,""Longer comments are the best, just copy this comment and post it again, wherever you'd like! We can help push the video even more on the algorithm by commenting longer comments without emojis and with proper grammar. Also referencing popular things such as Taylor Swift, Chapell Roan, Lady Gaga,Selena Gomez, Justin Bieber, Charlie XCX, Sabrina Carpenter,BTS, BlackPink, Kardashians, Chat Gpt, Bad Bunny, Billie Eilish, Kendrick Lamar, Michael Jackson, Beyonce, The Weeknd and McDonald's recommends this video to more people that watch those. Lastly, liking and replying to comments boosts the video more! We must work together to push this to as many people as possible."",en;,,";
6961246922493723398,je fait parti,fr;
7612663003200652054,Dans quel(s) état(s) as-tu constaté ça ?,fr;
7176647698488656683,THE MBAPPE DANCE💀🤣,en;
7426478316074943237,Et si je suis mineure comment je fais ?,fr;
7399774517310718763,I just got out of a long distance relationship and this trend is viral and I see this now and it breaks my heart,en;
7433914078035952430,THE ENERGY EVERYONE NEEDS WHEN APT STARTS PLAYING,en;
7634011338373743361,yo también,en;
7358653053535240965,JUNGWON IM TELLING YOU I WOULD DO ANYTHING FOR YOU😫,en;
7612678928846865155,Je te promet que non,fr;
7640780562152096532,Et toi tu peux placer les pays de l'Océanie sur la carte ?,fr;
"7579735897864733458,""ntp bro, seguro tienen una hmna g0rd4 😜🤙"",en;,,";
7534471594346038038,real but my fyp is mostly the first one but hers is kpop stuff,en;
7259576354999567130,MADDIE IS THE FACE OF THE RAVE ICON,en;
7639216908915458847,[Sticker] you’re so cuteee,sticker;
7554110335805735694,Power to the people. We pay for everything at the end of the day. Governments listen when we stop working.,en;
7395043040933495572,the lighter 💀,en;
7519974777761039118,What?? They had me close mine,en;
7642787990075605773,[Sticker] I have an idea but everyone’s going to have to be VERY open minded…,sticker;
7601344646241157901,cest exactement ca,fr;
6976823400765915909,14 year Olds don't act like that's it's probably 8-12,en;
7642543312288662293,this is so true lol😂❤️,en;
6940843401717923845,I saw someone buy four bottles and just pour them all out without even trying them,en;
7625632101484069654,Bro i pressed the fyp hashtag what is this,en;
7554179112345813776,Free Congo 🇨🇩 -Free Palestine 🇵🇸 - Free Yemen 🇾🇪 - Free Sudan 🇸🇩 -Free Afghanistan 🇦🇫 - Free Haiti 🇭🇹 - Free Myanmar 🇲🇲 - Free Lebanon 🇱🇧 - Free Uganda 🇺🇬 - Free Somalia 🇸🇴 - Free Tigray⭐💛🟥 - Free Uyghurs ♥️- Free Ukraine 🇺🇦 - Free Kurdistan🇹🇯❤️☀️💚 - Free Georgia 🇬🇪 - Free the World 🌍 - Say no to war 👎 - Say yes to PEACE ✌,en;
6977138294375514885,When you get Daniel Mac off Wish,en;
7614714965500740359,Mais la France c’est pareil,fr;
7642781833326773023,gonna watch and see if yall overreacting as someone who loves horror 😭,en;
7439479541549335298,“2020” ahh video 😭🙏 (that was actually funny 😂),en;
7260097186125234951,Hahhahaha omg,en;
"7554147119861465864,""Our fyp is basically the same, no lovey dovey stuff that much,😭😭"",en;,,";
"7641553267630211854,""We all would love to be closer to God but it’s not that easy, we have to be prepared for when the lord comes back! It’s ok if your not ready yet,"",en;,,";
7547815288651531030,the bear didn't choose you what a surprise,en;
7370110020375413535,My mom would keep driving,en;
7137364507420328709,nah the first dog is so cute 🥺,en;
7641572751966667534,I’m the latest,en;
7642562952642036502,Chocolate is on the road 😋 💋💋💋,en;
7632884675962536726,incroyable wsh,fr;
7201891669305361157,Omg my soul came out of my body,en;
7622999431902462733,“I need you to cover your ears hunny” and she stood on business.,en;
7617950053319820052,hola hermosura saludos y besitos cuidate mucho éxito en tu día bebé 🥰😘😱,fr;
7639413285145625365,[Sticker] look in replys,sticker;
6990832746009117445,What are you applying? Beautiful,en;
7452085220628579077,Merci,fr;
7642931247509504799,I miss showering with my best friend it’s such a girly thing to do 😭,en;
"7601667601895736078,""Faut trouver le bon endroit ! J'ai fait Iowa, Delaware et maintenant je suis a Oklahoma City depuis 3 ans .. et ici tout est différent ! Je ne me sens jamais seule, j'ai plein d'amis américains (vraies amitiés) et ce depuis les 3 années ici 🫶"",fr;,,";
"7519936303144829718,""Yes… I did. “If someone was on fire on the wing..”. mandingalingg, have you read it?"",en;,,";
7321871735359652640,always the gojo edits 😂,en;
"7642418645192721174,""[Sticker] and then she says """"What about you Daniel?"""""",sticker;,,";
7379427711221793582,dress to impress with the baddies [happy],en;
7642773438868390686,I have never seen a horror movie that scared me.,en;
7642799082105619231,Bro you should have removed the comments on this video 😭 10x more funnier,en;
7402683287111549701,Us if long distance worked out,en;
7634179624129643277,Who’s here 2026,en;
7253610983535805226,What should I highlight my hair if it’s very dark black almost??,en;
7576150137346425607,Bro it’s opposite 😭😭😭,en;
6977096019721421570,She wears a Gucci bag in the house!! That’s how rich she is.,en;
7215100579767501611,My soul went on Vacation 💀,fr;
7622637357980615425,the guy no one invited,en;
7325450636916654849,did the first guy just say “it’s ya boi”??? 😭,en;
7322719063943381802,AL I CAN THINK OF IS MOTO MOTO 😭,en;
7554119065749537591,General Strike you say??? 😏,en;
7421536690043306774,Ai taking over humanity 😭🙏🏼,en;
7464617417889825554,SO SATISFYING 😭,en;
7398381452109579050,The lag 😩,en;
7642737104775496479,this is something i need to see bc no movie is actually scary anymore,en;
